Заголовок;Производитель;Тип автомата;Количество линий;Количество барабанов;Мин ставка на линию;Макс ставка на линию;Джектпот;Процент отдачи;Бонусная игра;Прогрессивный джекпот;Символ Wild;Символ Scatter;Автоматическая игра;Мультиплеер;Бесплатные спины
Arcader Slot;Thunderkick;Видео-слоты;15;5;1;1;21;Неизвестно;yes;no;yes;yes;yes;yes;yes
Bork the Berzerker Slot;Thunderkick;Видео-слоты;25;5;1;1;5000;97.3%;no;no;yes;yes;yes;no;yes
Panther Moon Slot;Playtech;Видео-слоты;15;5;1;10;10000;95.17%;yes;no;yes;yes;yes;yes;yes
Siberian Storm;IGT (WagerWorks);Видео-слоты;720;5;50;50;1000;96%;no;no;yes;yes;yes;no;yes
Marilyn Monroe Slot;Playtech;Видео-слоты;20;5;1;1;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
Piggies And The Wolf Slot;Playtech;Видео-слоты;50;5;1;1;2500;92.10%;yes;no;yes;yes;yes;no;yes
Sunny Scoops Slot;Thunderkick;Видео-слоты;14;3;1;1;5;96%;yes;no;no;yes;yes;yes;yes
Cleopatra's Coins Slot;Rival;Видео-слоты;15;5;1;5;5000;95%;yes;no;yes;yes;yes;yes;yes
Fruit Zen Slot;Betsoft;Видео-слоты;10;5;1;10;250;Неизвестно;no;no;yes;no;yes;no;no
Montezuma Slot;WMS (Williams Interactive);Видео-слоты;30;5;1;1;600;Неизвестно;no;no;yes;yes;yes;yes;yes
Уайлд Blood Slot;Play\'n GO;Видео-слоты;15;5;1;5;2500;96%;yes;no;yes;yes;yes;yes;yes
1429 Uncharted Seas Slot;Thunderkick;Видео-слоты;25;5;1;1;50;98.6%;no;no;yes;yes;yes;no;yes
Sunset Beach;Playtech;Видео-слоты;80;5;1;1;3000;Неизвестно;no;no;yes;yes;yes;no;yes
The Mummy Slot;Playtech;Видео-слоты;25;5;1;1;10000;96.8%;yes;no;yes;yes;yes;yes;yes
Golden Ticket Slot;Play\'n GO;Видео-слоты;0;5;1;1;100;96.73%;yes;no;no;yes;yes;yes;yes
Merry Xmas Slot;Play\'n GO;Видео-слоты;15;5;1;5;12500;95.79%;yes;no;yes;yes;yes;yes;no
Easter Surprise Slot;Playtech;Видео-слоты;20;5;1;10;10000;97%;yes;no;yes;yes;yes;yes;yes
Top Trumps Celebs Slot;Playtech;Видео-слоты;20;5;1;10;10000;97%;yes;no;yes;yes;yes;yes;yes
Frankie Dettori's Magic Seven Slot;Playtech;Видео-слоты;25;5;1;10;7777;96%;yes;no;yes;yes;yes;yes;yes
Pink Panther Slot;Playtech;Прогрессивные слоты;40;5;1;10;Прогрессивный;95.4%;yes;yes;yes;yes;yes;yes;yes
Raging Rhiнет;WMS (Williams Interactive);Видео-слоты;4096;6;1;1;400;95.91%;no;no;yes;yes;yes;yes;yes
Birds On A Wire Slot;Thunderkick;Видео-слоты;17;5;1;1;200;97.2%;no;no;yes;yes;yes;yes;yes
Zeus III;WMS (Williams Interactive);Видео-слоты;192;6;1;200;800;96.10%;no;no;yes;yes;yes;yes;yes
Supe it Up;Microgaming;Видео-слоты;25;5;1;10;10000;95.21%;no;no;yes;yes;yes;yes;yes
The Dark Knight Slot;Microgaming;Прогрессивные слоты;243;5;1;10;Прогрессивный;88.12%;yes;yes;yes;yes;yes;yes;yes
Retro Reels Diamond Glitz;Microgaming;Видео-слоты;25;5;1;20;10000;96.47%;no;no;no;yes;yes;yes;yes
Sure Win;Microgaming;Видео-слоты;25;5;1;20;800;Неизвестно;no;no;yes;yes;yes;yes;yes
Irish Eесть;Microgaming;Видео-слоты;25;5;1;1;10000;95.13%;yes;no;yes;yes;yes;yes;yes
Big Chef Slot;Microgaming;Видео-слоты;15;5;1;1;0;Неизвестно;yes;no;yes;yes;yes;yes;yes
Golden Princess Slot;Microgaming;Видео-слоты;25;5;1;1;50;Неизвестно;yes;no;yes;yes;yes;yes;yes
Joker Pro Slot;NetEnt;Видео-слоты;10;5;1;10;200;96.8%;no;no;yes;yes;yes;yes;yes
Fairytale Legends: Red Riding Hood Slot;NetEnt;Видео-слоты;20;5;1;10;400;96.3%;yes;no;yes;yes;yes;yes;yes
Jungle Games Slot;NetEnt;Видео-слоты;20;5;1;4;10000;96.6%;yes;no;yes;yes;yes;yes;yes
Jason and the Golden Fleece Slot;Microgaming;Видео-слоты;25;5;1;10;220000;96.54%;yes;no;yes;yes;yes;yes;yes
Robo Jack Slot;Microgaming;Видео-слоты;243;5;1;10;30;Неизвестно;yes;no;yes;yes;yes;yes;yes
Retro Reels Slot;Microgaming;Видео-слоты;20;5;1;20;10000;96.47%;no;no;no;yes;yes;yes;yes
Flying Circus;Microgaming;Видео-слоты;20;5;1;20;1500;Неизвестно;no;no;yes;yes;yes;yes;yes
Soccer Safari Slot;Microgaming;Видео-слоты;30;5;1;20;2000;96.5%;yes;no;yes;yes;yes;yes;yes
Lady in Red;Microgaming;Видео-слоты;25;5;1;10;2500;96.25%;no;no;yes;yes;yes;yes;yes
Sparks Slot;NetEnt;Видео-слоты;20;5;1;10;200;96.54%;no;no;yes;yes;yes;yes;yes
Munchkins;Microgaming;Видео-слоты;15;5;1;10;500;95.88%;no;no;yes;yes;yes;yes;yes
The Rat Pack Slot;Microgaming;Классические слоты;30;5;1;10;30000;97%;no;no;yes;yes;no;yes;yes
Loose Canнетn;Microgaming;Видео-слоты;243;5;1;5;Неизвестно;97%;no;no;yes;yes;yes;yes;yes
Galacticons;Microgaming;Видео-слоты;243;5;1;10;3000;96.14%;no;no;yes;yes;yes;yes;yes
Superнетva Slot;Microgaming;Видео-слоты;27;5;1;1;50;97.05%;no;no;yes;no;yes;yes;no
Mount Olympus Slot;Microgaming;Видео-слоты;25;5;1;10;1000;96%;no;no;yes;yes;yes;yes;yes
Surf Safari Slot;Microgaming;Видео-слоты;243;5;1;10;1000;95.88%;yes;no;yes;yes;yes;no;no
Skull Duggery Slot;Microgaming;Видео-слоты;9;5;1;5;750;95.81%;no;no;yes;yes;yes;yes;no
Cashaнетva Slot;Microgaming;Видео-слоты;30;5;1;10;750;96.41%;no;no;yes;yes;yes;yes;yes
Witches Wealth Slot;Microgaming;Видео-слоты;9;5;1;20;6000;95.5%;yes;no;yes;yes;yes;yes;no
Thrill Spin Slot;NetEnt;Видео-слоты;15;5;1;5;10000;95.9%;no;no;yes;yes;yes;yes;yes
Mega Moolah Isis Slot;Microgaming;Прогрессивные слоты;25;5;1;20;12000;88.12%;yes;yes;yes;yes;yes;yes;yes
The Groovy Sixties Slot;NetEnt;Видео-слоты;40;5;1;5;1000;96.5%;no;no;yes;yes;yes;yes;yes
Fortune Teller Slot;NetEnt;Видео-слоты;30;5;1;4;7500;93.3%;yes;no;yes;yes;yes;yes;yes
Secret Code Slot;NetEnt;Видео-слоты;20;5;1;5;4000;96.3%;yes;no;yes;yes;yes;yes;yes
Уайлд Wizards Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Toki Time Slot;Thunderkick;Видео-слоты;11;5;1;1;2400;97.1%;no;no;yes;yes;yes;no;no
Secrets of Horus Slot;NetEnt;Видео-слоты;20;5;1;4;10000;96%;no;no;yes;yes;yes;yes;yes
Grim Muerto Slot;Play\'n GO;Видео-слоты;20;5;1;5;1000;Неизвестно;no;no;yes;yes;yes;no;yes
Gypsy Rose Slot;Betsoft;Видео-слоты;30;5;1;5;5000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Mega Joker Slot;нетvomatic;Видео-слоты;40;5;1;1;800;96%;no;no;yes;yes;yes;no;no
Aztec Treasure Feature Guarantee;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;yes;yes;yes;yes;yes;yes;yes
Уайлдcat Canyon;NextGen Gaming;Видео-слоты;25;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Boomanji Slot;Betsoft;Видео-слоты;10;5;1;10;250;94.9%;no;no;yes;no;no;yes;yes
Zeus Slot;WMS (Williams Interactive);Видео-слоты;30;5;1;1;500;97%;no;no;yes;yes;yes;no;yes
Rook's Revenge Slot;Betsoft;Видео-слоты;25;5;1;5;2500;94.5%;no;no;yes;no;no;yes;yes
Hot Roller Slot;NextGen Gaming;Видео-слоты;25;5;1;1;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
Уайлд Spirit Slot;Playtech;Видео-слоты;20;5;1;10;5000;92%;no;no;yes;yes;yes;yes;yes
Magicious Slot;Thunderkick;Видео-слоты;10;5;1;1;4000;97.6%;no;no;yes;no;yes;no;yes
Crazy Cows Slot;Play\'n GO;Видео-слоты;15;5;1;5;2500;96.17%;yes;no;yes;yes;yes;yes;yes
Kong Slot;Playtech;Видео-слоты;20;5;1;1;3000;95.5%;yes;no;yes;yes;yes;no;no
Gladiator Slot;Playtech;Видео-слоты;25;5;1;10;5000;94.1%;yes;no;yes;yes;yes;yes;yes
Foxin' Wins Again;NextGen Gaming;Видео-слоты;50;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;no;yes
Achilles Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Isis;Microgaming;Видео-слоты;25;5;1;10;2000;Неизвестно;no;no;yes;yes;yes;yes;yes
Jungle Jim El Dorado Slot;Microgaming;Видео-слоты;25;5;1;10;30;Неизвестно;no;no;yes;yes;yes;yes;yes
Titans of the Sun: Theia;Microgaming;Видео-слоты;15;5;1;1;50;Неизвестно;no;no;yes;yes;yes;yes;yes
Basketball Star Slot;Microgaming;Видео-слоты;243;5;1;1;0;Неизвестно;no;no;yes;yes;yes;yes;yes
Pistoleras Slot;Microgaming;Видео-слоты;25;5;1;10;25;Неизвестно;yes;no;yes;yes;yes;yes;yes
Warlords: Crystals of Power Slot;NetEnt;Видео-слоты;30;5;1;10;300;96.8%;Неизвестно;no;yes;yes;yes;yes;yes
Mr Green Moonlight Slot;NetEnt;Видео-слоты;20;5;1;10;1500;96.7%;no;no;yes;yes;yes;yes;yes
Kitty Cabana;Microgaming;Видео-слоты;25;5;1;15;25;Неизвестно;yes;no;yes;yes;yes;yes;yes
Ladies Nite Slot;Microgaming;Видео-слоты;9;5;1;5;750;96.1%;no;no;yes;yes;yes;yes;yes
Tigers Eye;Microgaming;Видео-слоты;40;5;1;5;800;96.3%;no;no;yes;yes;yes;yes;yes
Jungle Jim;Microgaming;Видео-слоты;15;5;1;10;1500;Неизвестно;no;no;yes;yes;yes;yes;yes
Twister;Microgaming;Видео-слоты;15;5;1;10;500;95.9%;no;no;yes;yes;yes;yes;yes
The Osbournes;Microgaming;Видео-слоты;20;5;1;20;5000;95.8%;yes;no;yes;yes;yes;yes;yes
Pandora's Box;NetEnt;Видео-слоты;20;5;1;4;10000;95.1%;no;no;yes;yes;yes;yes;yes
Mayan Princess Slot;Microgaming;Видео-слоты;20;5;1;10;5000;96.45%;no;no;yes;no;yes;yes;yes
The Bermuda Mysteries Slot;Microgaming;Видео-слоты;25;5;1;1;5000;95.33%;yes;no;yes;yes;yes;yes;yes
Paradise Found Slot;Microgaming;Видео-слоты;20;5;1;10;1000;95.7%;yes;no;yes;yes;yes;no;no
Mystic Dreams Slot;Microgaming;Видео-слоты;243;5;1;5;12500;96.06%;no;no;yes;yes;yes;yes;yes
Lucky Firecracker Slot;Microgaming;Видео-слоты;243;5;1;10;30;Неизвестно;no;no;yes;yes;yes;yes;yes
Rhyming Reels Old King Cole Slot;Microgaming;Видео-слоты;20;5;1;10;900;96%;no;no;yes;yes;yes;yes;yes
The Marvellous Mr Green Slot;NetEnt;Видео-слоты;20;5;1;10;2000;Неизвестно;no;no;yes;yes;yes;yes;yes
Jenny Nevada and the Diamond Temple;Rival;Видео-слоты;20;5;1;10;5000;96%;yes;no;yes;yes;yes;yes;yes
Hugo Slot;Play\'n GO;Видео-слоты;10;5;1;5;2000;Неизвестно;yes;no;yes;yes;yes;no;yes
Megasaur Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Football Frenzy Slot;Real Time Gaming;Видео-слоты;50;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Mystic Wolf;Rival;Видео-слоты;50;5;1;10;5000;94.59%;yes;no;yes;yes;yes;yes;yes
Future Fortunes Slot;Rival;Видео-слоты;20;5;1;10;5000;96%;yes;no;no;yes;yes;yes;yes
Foxin' Wins Slot;NextGen Gaming;Видео-слоты;25;5;1;1;2000;95.6%;no;no;yes;yes;yes;no;yes
Naughty Or Nice Slot;Real Time Gaming;Прогрессивные слоты;50;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Gladiator Jackpot;Playtech;Прогрессивные слоты;25;5;1;10;Прогрессивный;91.5%;yes;yes;yes;yes;yes;yes;yes
Gorilla Go Уайлд Slot;NextGen Gaming;Видео-слоты;25;5;1;1;2500;96.5%;yes;no;yes;yes;yes;yes;yes
A While on the Nile Slot;NextGen Gaming;Видео-слоты;50;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Secret Garden Slot;Rival;Видео-слоты;20;5;1;10;5000;95%;yes;no;yes;yes;yes;yes;yes
White Rhiнет;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Book of Dead Slot;Play\'n GO;Видео-слоты;10;5;1;5;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Flux Slot;Thunderkick;Видео-слоты;15;5;1;1;24;96.2%;yes;no;yes;yes;yes;no;yes
Eternal Love Slot;Real Time Gaming;Видео-слоты;243;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Super Flip;Play\'n GO;Видео-слоты;20;5;1;5;250;96.53%;no;no;yes;yes;yes;yes;yes
Rise of Spartans Slot;Saucify (BetOnSoft);Видео-слоты;15;5;1;5;8000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Crystal Waters Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Riches of Ra;Play\'n GO;Видео-слоты;15;5;1;5;2500;94%;yes;no;yes;yes;yes;yes;yes
Cleopatra Slot;IGT (WagerWorks);Видео-слоты;20;5;1;1;10000;95.02%;no;no;yes;yes;yes;yes;yes
Caesar's Empire Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Captain's Treasure Slot;Playtech;Видео-слоты;9;5;1;1;5000;97%;no;no;yes;yes;yes;yes;no
A Night Out Slot;Playtech;Видео-слоты;20;5;1;20;10000;97%;yes;no;yes;yes;yes;yes;yes
Red Mansions;IGT (WagerWorks);Видео-слоты;1024;5;1;30;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Emperors Garden;Microgaming;Видео-слоты;25;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Cherries Gone Уайлд;Microgaming;Классические слоты;30;5;1;20;500;Неизвестно;no;no;yes;yes;yes;no;yes
Game of Thrones 15 Lines;Microgaming;Видео-слоты;15;5;1;10;30;Неизвестно;yes;no;yes;yes;yes;yes;yes
Ho Ho Ho Slot;Microgaming;Видео-слоты;15;5;1;10;500;95.88%;no;no;yes;yes;yes;yes;yes
Divine Fortune Slot;NetEnt;Прогрессивные слоты;20;5;1;10;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;no;yes
Bikini Party Slot;Microgaming;Видео-слоты;243;5;1;1;60000;Неизвестно;no;no;yes;yes;yes;yes;yes
Karaoke Party Slot;Microgaming;Видео-слоты;9;5;1;5;100;Неизвестно;no;no;yes;yes;yes;yes;yes
Dogfather Slot;Microgaming;Видео-слоты;20;5;1;5;900;95.52%;no;no;yes;yes;yes;yes;yes
Santa Paws Slot;Microgaming;Видео-слоты;20;5;1;10;750;Неизвестно;no;no;yes;yes;yes;yes;yes
Diнет Might Slot;Microgaming;Видео-слоты;25;5;1;10;800;96.42%;no;no;yes;yes;yes;yes;no
Happy Holidays Slot;Microgaming;Видео-слоты;243;5;1;1;8000;Неизвестно;no;no;yes;yes;yes;no;yes
Bridezilla Slot;Microgaming;Видео-слоты;243;5;1;20;12000;95.98%;no;no;yes;yes;yes;yes;yes
Lost Vegas Slot;Microgaming;Видео-слоты;243;5;1;15;15;Неизвестно;no;no;yes;yes;yes;yes;yes
Super Lucky Frog Slot;NetEnt;Прогрессивные слоты;25;5;1;4;Прогрессивный;93%;yes;yes;yes;yes;yes;yes;yes
Flowers Christmas Edition Slot;NetEnt;Видео-слоты;30;5;1;5;2000;96.3%;no;no;yes;yes;yes;yes;yes
Cabin Fever Slot;Microgaming;Видео-слоты;20;5;1;10;300;96.19%;no;no;yes;yes;yes;yes;yes
Xcalibur Slot;Microgaming;Видео-слоты;50;5;1;1;1000;97%;yes;no;yes;yes;yes;yes;yes
Viking's Treasure Slot;NetEnt;Видео-слоты;15;5;1;5;10000;95.9%;no;no;yes;yes;yes;yes;yes
Royal Feast;Microgaming;Видео-слоты;15;5;1;20;2500;Неизвестно;no;no;yes;yes;yes;yes;yes
Mark of Medusa;Microgaming;Видео-слоты;25;5;1;20;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Bearly Fishing;Microgaming;Видео-слоты;25;5;1;20;3000;Неизвестно;no;no;yes;yes;yes;yes;yes
Chocolate Factory;Microgaming;Видео-слоты;9;5;1;5;800;Неизвестно;no;no;yes;yes;yes;yes;no
Curry in a Hurry;Microgaming;Видео-слоты;25;5;1;20;2500;Неизвестно;yes;no;yes;yes;yes;yes;no
Dolphin Tale;Microgaming;Видео-слоты;40;5;1;5;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Glory of Rome;Microgaming;Видео-слоты;20;5;1;20;1500;Неизвестно;yes;no;yes;yes;yes;yes;yes
Dynasty;Microgaming;Видео-слоты;20;5;1;1;5000;95.29%;no;no;yes;yes;yes;no;yes
Fire Hawk;Microgaming;Видео-слоты;20;5;1;1;6000;Неизвестно;no;no;yes;yes;yes;yes;yes
Drone Wars;Microgaming;Видео-слоты;25;5;1;20;1000;95.99%;yes;no;yes;yes;yes;yes;yes
Mugshot Madness;Microgaming;Видео-слоты;20;5;1;10;2000;96.5%;no;no;yes;yes;yes;yes;yes
Big Kahuna Slot;Microgaming;Видео-слоты;9;5;1;5;500;96.16%;no;no;yes;yes;yes;yes;yes
Bars and Stripes Slot;Microgaming;Видео-слоты;25;5;1;10;5000;95.5%;yes;no;yes;yes;yes;yes;no
The Forgotten Land of Lemuria Slot;Microgaming;Видео-слоты;243;5;1;10;1500;Неизвестно;yes;no;yes;yes;yes;yes;no
Titan Storm;NextGen Gaming;Видео-слоты;243;5;1;1;2000;Неизвестно;no;no;yes;yes;yes;yes;yes
Reel Strike;Microgaming;Видео-слоты;15;5;1;10;1000;94.96%;no;no;yes;yes;yes;yes;yes
Rhyming Reels Jack & Jill Slot;Microgaming;Видео-слоты;20;5;1;10;15000;96.41%;no;no;yes;yes;yes;yes;yes
Lucky Zodiac Slot;Microgaming;Видео-слоты;20;5;1;1;800;Неизвестно;no;no;yes;yes;yes;yes;yes
King Tiger Slot;Microgaming;Видео-слоты;20;5;1;1;5000;95.05%;no;no;yes;yes;yes;no;yes
Prime Property Slot;Microgaming;Видео-слоты;40;5;1;5;2000;95.99%;no;no;yes;yes;yes;yes;yes
Bush Telegraph Slot;Microgaming;Видео-слоты;15;5;1;5;500;96.56%;no;no;yes;yes;yes;yes;yes
Reel Gems;Microgaming;Видео-слоты;243;5;1;10;4000;96.5%;no;no;yes;yes;yes;yes;yes
Vikings Quest Slot;Microgaming;Видео-слоты;40;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Doctor Love on Vacation Slot;Microgaming;Видео-слоты;25;5;1;1;5000;95.425%;no;no;yes;yes;yes;yes;yes
Relic Raiders Slot;NetEnt;Видео-слоты;50;5;1;4;10000;90%;yes;no;yes;yes;yes;yes;yes
Уайлд Birthday Blast;2 By 2 Gaming;Видео-слоты;30;5;1;10;1250;Неизвестно;yes;no;yes;yes;yes;yes;yes
Jungle Уайлд;WMS (Williams Interactive);Видео-слоты;25;5;1;1;2500;92.1%;no;no;yes;yes;yes;no;yes
Cash Bandits Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Fairies Forest Slot;NextGen Gaming;Видео-слоты;25;5;1;1;5000;95.34%;no;no;yes;yes;yes;yes;yes
Queen of Hearts Deluxe;нетvomatic;Видео-слоты;9;5;1;1;10000;95.9%;no;no;yes;yes;yes;no;yes
Unicorn Legend;NextGen Gaming;Видео-слоты;25;5;1;1;2000;95.32%;no;no;yes;yes;yes;yes;yes
Vikings Go Berzerk Slot;Yggdrasil Gaming;Видео-слоты;25;5;1;0;250;96.1%;no;no;yes;yes;yes;no;yes
Viking Vanguard Slot;SkillOnNet;Видео-слоты;60;6;1;1;450;95.9%;no;no;yes;yes;yes;no;yes
The Legend of Olympus Slot;Rabcat;Видео-слоты;20;5;1;1;200;95.47%;no;no;yes;yes;yes;no;yes
White King Slot;Playtech;Видео-слоты;40;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;no;yes
Jokerizer Slot;Yggdrasil Gaming;Видео-слоты;10;5;1;1;6000;98%;yes;no;no;yes;yes;no;no
Dream Run Slot;Real Time Gaming;Видео-слоты;25;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Polar Explorer Slot;Real Time Gaming;Видео-слоты;25;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Loch Ness Loot;Real Time Gaming;Видео-слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Battle of the Gods Slot;Playtech;Видео-слоты;25;5;1;1;10000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Nuclear Fishin';Rival;Видео-слоты;25;5;1;10;5000;94%;yes;no;yes;yes;yes;yes;yes
Eye of The Kraken Slot;Play\'n GO;Видео-слоты;50;3;1;10;50000;96.41%;no;no;yes;yes;yes;yes;yes
Orbital Mining Slot;Pragmatic Play;Видео-слоты;25;5;0;125;500;Неизвестно;no;no;yes;yes;yes;yes;yes
Cloud Quest Slot;Play\'n GO;Видео-слоты;0;5;10;10;150;Неизвестно;yes;no;yes;yes;yes;yes;yes
Dr Jekyll and Mr Hyde Slot;Betsoft;Видео-слоты;30;5;1;5;1200;Неизвестно;yes;no;yes;yes;yes;yes;yes
Amazon Queen;WMS (Williams Interactive);Видео-слоты;20;5;1;1;Неизвестно;95.94%;no;no;yes;yes;yes;yes;no
The Sopraнетs Slot;Playtech;Видео-слоты;25;5;1;1;3000;94%;yes;no;yes;yes;yes;yes;yes
Greedy Goblins;Betsoft;Прогрессивные слоты;30;5;1;5;Прогрессивный;93.5%;yes;yes;yes;yes;yes;yes;yes
Ninja Fruits Slot;Play\'n GO;Видео-слоты;15;5;1;5;5000;97%;yes;no;yes;yes;yes;yes;yes
Lucky 8;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
The Slotfather Slot;Betsoft;Прогрессивные слоты;30;5;1;5;Прогрессивный;Неизвестно;yes;yes;no;yes;yes;yes;yes
Under the Bed Slot;Betsoft;Видео-слоты;30;5;1;5;500;95.5%;yes;no;yes;yes;yes;yes;yes
At the Copa;Betsoft;Прогрессивные слоты;30;5;1;5;Прогрессивный;97.5%;yes;yes;yes;no;yes;yes;yes
Football Fans Slot;Playtech;Видео-слоты;20;5;1;1;5000;97%;yes;no;yes;yes;yes;yes;yes
Forsaken Kingdom Slot;Rabcat;Видео-слоты;20;5;1;1;200;Неизвестно;yes;no;yes;yes;yes;yes;yes
Magic Mushrooms Slot;Yggdrasil Gaming;Видео-слоты;40;5;1;1;1000;96.4%;no;no;yes;no;yes;yes;yes
Hot Gems Slot;Playtech;Видео-слоты;25;5;1;1;5000;96%;no;no;yes;yes;yes;yes;yes
Builder Beaver Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Desert Treasure 2;Playtech;Видео-слоты;20;5;1;10;10000;96.21%;yes;no;yes;yes;yes;yes;yes
